Claim,Layer or component,Practice implication,Source support (strong/medium/thin),Silence notes,Source
"Jev (System One) provides fast, typed decisions for software logic.",System One Model,Enables software to use model outputs directly in code without parsing free-form text; enables automation of low-latency decisions.,Strong,Specific technical details of the underlying neural architecture or the formal proof of type-safety are not provided.,"[1], [2], [3], [4], [5], [6], [7], [8]"
"Jev utilizes three specific primitives: Choice, Score, and Noul.",Data Primitives / API,"Developers must map program state into these types; replaces open-ended prompts with structured questions (classification, scoring, boolean).",Strong,The specific mathematical definition or origin of the term 'Noul' (beyond being a Boolean) is not explained.,"[9], [10], [2], [11], [4], [5]"
The model returns full probability distributions and calibrated confidence scores.,Response Structure / Inference Layer,"Enables confidence-gated routing where low-confidence results (e.g., p < 0.85 ) are escalated to humans or System Two LLMs.",Strong,The specific mathematical formula or algorithm used for calibration and probability calculation is not disclosed.,"[1], [12], [9], [10], [13], [2], [3], [4], [14], [5]"
System One is designed for high performance with 70–500 ms latency.,Execution Layer / Performance,"Suitable for real-time request paths, high-frequency agent loops, and UX where low latency is critical.",Strong,Speed and cost claims are largely vendor-provided; independent third-party benchmarks are not detailed.,"[1], [15], [9], [3], [11], [4], [5], [8]"
Jev cannot hallucinate or produce structural type errors.,Output Schema / Constraint Layer,"Guarantees outputs conform to predefined schemas/options; eliminates the need for post-processing, regex, or cleaning up 'chatter'.",Strong,"While structural adherence is guaranteed, the source clarifies that the logical correctness of a choice is not.","[15], [9], [13], [3]"
Multiple questions can be evaluated independently and in parallel.,API / Request Structure,"Reduces network overhead and latency by gathering multiple classifications (tone, category, intent) in a single request.",Strong,"Internal concurrency limits, hardware orchestration, or limits on the number of questions per request are not specified.","[1], [12], [10]"
Output tokens are 'too cheap to meter' or provided at significant cost savings.,Pricing Model,"Encourages massive scaling of AI workflows (e.g., map-reduce over petabytes) with costs scaled on input volume.",Strong,Sustainability of the pricing model and specific hardware configurations used to reach cost multiples are not detailed.,"[15], [13], [11], [5]"
Choice questions support high cardinality (up to 255 options).,API Constraints / Decision Layer,Allows for broad classification and complex routing tasks (like full product catalogs) without manual pre-filtering.,Medium,Does not specify if the 255 limit applies per question or total across a multi-question request.,"[12], [15], [4]"
Trained using Reinforcement Learning for Calibrated Decisions (RLCD).,Training Method / Algorithm,Produces epistemically honest probabilities to reflect aggregate uncertainty across trials.,Medium,"Specific loss functions, training datasets, or peer-reviewed validation of the RLCD method are missing.","[1], [15], [4], [14]"
Input state should be decomposed and restricted to relevant context.,Input / State Management,"Helps the model avoid 'context rot' and distractions; inputs are restricted to text, JSON objects, and arrays.",Strong,Maximum context window size limits and a timeline for multimodal (image/audio) support are not provided.,"[1], [2], [4]"
"Broad judgments should be decomposed into narrow, atomic questions.",Prompt / Primitive Design,Exposes individual judgments for inspection and tuning; allows for weighted scoring and easier debugging.,Strong,Not in source,[1]
"Jev is optimized for bounded decisions, not narrative generation or chat.",Functional Focus / Training,Engineers should use Jev for logic branching/routers and separate it from 'narrator' tasks like writing replies.,Strong,Specific training data or techniques used to discourage conversational traits are not mentioned.,"[9], [13], [2], [8]"
Jev acts as a 'frontier-intelligence function call' or agent skill.,Integration Layer,"Integration is handled via state input and typed output; can be integrated into coding agents (e.g., Claude Code).",Strong,Specific SDK availability versus REST API details and the underlying protocol for agent skills are not fully described.,"[9], [10], [5], [7]"
Architectural assertions require grounding in primary documents and practice.,Knowledge Management,Practitioners must use 'practice playbooks' and artifact generation to ensure competence over surface-level understanding.,Medium,Specific examples of 'falsification tests' or the exact nature of the required 'real artifact' are not defined.,"[16], [6]"
"Decisions are structured as rule-based logic (X, Y, Z).",Decision Logic,Ensures software actions (Y) are explicitly linked to conditions (X) and justifications (Z).,Medium,Architectural implementation details for the engine to enforce these links are not provided.,[17]
System One calls support hierarchical classification via beam search.,Logic Layer / SDK Patterns,Allows navigating deep taxonomies by keeping multiple candidate paths open rather than just the top choice.,Thin,The documentation references a 'cookbook' but provides little technical detail on the implementation.,[12]
Distinguishes between 'Run' (maintenance) and 'Change' (strategic investment).,Operational Management,Prevents blending operational costs with strategic growth for clearer financial tracking.,Strong,The technical mechanism for enforcing this separation in code or management tools is unknown.,[16]
Decision artifacts are optimized for 'high-stakes rooms'.,Reporting Layer,"Information focus is on cash, risk, customers, and time, delivered in 'one breath' or 60-second scripts.",Strong,The specific software interface used to generate these artifacts is not mentioned beyond a reference to 'Studio'.,[16]
Utilizes an 'Uncertainty Register' to track unknowns.,Risk Management,Mandates a 'KNOWN-BY' date and owner for missing information to maintain trust.,Medium,Does not define the threshold for what constitutes a 'decision-critical fact'.,[16]
Jev can be integrated with OpenRouter for live demos.,External API,Demonstrates interoperability with existing LLM providers and platforms.,Medium,Latency and reliability metrics during live demonstrations are not documented.,[7]
